               Date|        Records|               Bytes|          Packets|
2016/04/11T10:05:00|        1842.47|          5743897.14|         43962.19|
2016/04/11T10:10:00|        2188.26|         10509745.01|         54846.01|
2016/04/11T10:15:00|        2175.72|         14130940.32|         60749.68|
2016/04/11T10:20:00|        2082.01|          6604998.10|         71047.19|
2016/04/11T10:25:00|        2003.89|          4913290.75|         46673.98|
2016/04/11T10:30:00|        2242.16|          5630266.52|         45994.82|
2016/04/11T10:35:00|        2349.79|          6050642.31|         58855.53|
2016/04/11T10:40:00|        2382.17|          6420119.88|         56894.15|
2016/04/11T10:45:00|        2441.78|          6733607.45|         50189.58|
2016/04/11T10:50:00|        2504.70|          7145218.06|         70929.36|
2016/04/11T10:55:00|        2508.96|         13313992.74|        185557.68|
2016/04/11T11:00:00|        2572.85|         11416849.72|        146045.69|
2016/04/11T11:05:00|        2299.01|          9855457.92|        130826.43|
2016/04/11T11:10:00|        2391.12|          9960254.50|        131615.15|
2016/04/11T11:15:00|        2584.35|          6544594.70|         72017.31|
2016/04/11T11:20:00|        2861.32|          9241638.45|        102079.63|
2016/04/11T11:25:00|        2808.74|         10313863.75|        121866.87|
2016/04/11T11:30:00|        3508.70|         11969511.57|        139046.72|
2016/04/11T11:35:00|        3874.36|          9041488.90|         79995.10|
2016/04/11T11:40:00|        4046.92|         11697662.54|        123780.96|
2016/04/11T11:45:00|        4063.24|         10759597.13|         95507.57|
2016/04/11T11:50:00|        3011.02|         10722440.88|         65744.33|
2016/04/11T11:55:00|        3906.13|         40909051.41|        109946.41|
2016/04/11T12:00:00|        3563.49|         32805966.01|         95358.38|
2016/04/11T12:05:00|        3709.82|         15080617.22|        106164.08|
2016/04/11T12:10:00|        3847.66|         14852589.14|         89921.10|
2016/04/11T12:15:00|        3473.87|         29311330.16|        239555.97|
2016/04/11T12:20:00|        4606.46|         26499223.86|        287088.38|
2016/04/11T12:25:00|        4924.20|         21063936.58|        163641.59|
2016/04/11T12:30:00|        4986.41|         17313778.25|        177843.75|
2016/04/11T12:35:00|        5264.69|         32227587.72|        259753.46|
2016/04/11T12:40:00|        4792.52|         16104158.01|        173832.24|
2016/04/11T12:45:00|        4119.34|         15438083.70|        175150.83|
2016/04/11T12:50:00|        6429.35|         21891227.22|        186332.66|
2016/04/11T12:55:00|        6014.67|         25452682.10|        266486.84|
2016/04/11T13:00:00|        5960.54|         33116217.72|        303950.70|
2016/04/11T13:05:00|        7116.46|         28181958.56|        326745.45|
2016/04/11T13:10:00|        4338.04|         22523845.68|        200789.13|
2016/04/11T13:15:00|        2844.36|         12201598.77|         99388.78|
2016/04/11T13:20:00|        6694.46|         36806857.29|        395349.11|
2016/04/11T13:25:00|        5855.28|         39014522.37|        354148.24|
2016/04/11T13:30:00|        6239.36|         43664393.37|        310720.84|
2016/04/11T13:35:00|        6624.69|         29463005.16|        324095.56|
2016/04/11T13:40:00|        7369.25|         30607630.36|        334560.84|
2016/04/11T13:45:00|        7313.87|         34574910.69|        327644.18|
2016/04/11T13:50:00|        3597.66|          7573640.89|         65643.32|
2016/04/11T13:55:00|        6145.74|         29709307.84|        267045.82|
2016/04/11T14:00:00|        7381.93|         39860532.94|        404484.48|
2016/04/11T14:05:00|        6933.62|         61500262.51|        404848.98|
2016/04/11T14:10:00|        4942.29|         28307744.53|        245836.79|
2016/04/11T14:15:00|        3422.67|         21527604.92|        243692.77|
2016/04/11T14:20:00|        7554.34|         57259844.79|        538496.94|
2016/04/11T14:25:00|        7045.85|         48877380.45|        442007.78|
2016/04/11T14:30:00|        6754.66|         37971753.31|        334687.23|
2016/04/11T14:35:00|        7343.32|         40316564.81|        371077.58|
2016/04/11T14:40:00|        6908.94|         60687648.21|        463872.84|
2016/04/11T14:45:00|        5958.94|         38717710.16|        356890.12|
2016/04/11T14:50:00|        4154.76|         25873718.92|        158143.53|
2016/04/11T14:55:00|        5804.05|         39973111.64|        360926.26|
2016/04/11T15:00:00|        7190.36|         40795081.10|        373263.18|
2016/04/11T15:05:00|        7277.00|         52681703.55|        464257.64|
2016/04/11T15:10:00|        5643.03|         34867635.38|        407183.66|
2016/04/11T15:15:00|        3767.23|         15548973.10|        179778.52|
2016/04/11T15:20:00|        6043.23|         42028114.54|        453691.01|
2016/04/11T15:25:00|        6826.97|         37117605.36|        313600.40|
2016/04/11T15:30:00|        7286.76|         41620565.33|        333700.36|
2016/04/11T15:35:00|        7668.05|         58340822.97|        418692.44|
2016/04/11T15:40:00|        7185.44|         57969982.35|        561421.70|
2016/04/11T15:45:00|        3580.96|         23746167.63|        287356.62|
2016/04/11T15:50:00|        3994.22|         19711272.97|        188596.10|
2016/04/11T15:55:00|        6568.83|         42984011.75|        448815.66|
2016/04/11T16:00:00|        7526.46|         50024540.07|        423137.08|
2016/04/11T16:05:00|        7493.40|         56801037.98|        508139.25|
2016/04/11T16:10:00|        5808.17|         41011345.05|        513930.74|
2016/04/11T16:15:00|        3079.71|         25552228.23|        330811.08|
2016/04/11T16:20:00|        5910.32|         45424150.17|        634124.40|
2016/04/11T16:25:00|        6631.85|         30363924.81|        332141.09|
2016/04/11T16:30:00|        7026.73|         33262943.37|        344860.09|
2016/04/11T16:35:00|        7497.77|         60379194.20|        498334.20|
2016/04/11T16:40:00|        8694.25|         55447096.91|        623773.51|
2016/04/11T16:45:00|        7105.83|         35183209.62|        434354.52|
2016/04/11T16:50:00|        3135.61|         10411899.65|        102568.38|
2016/04/11T16:55:00|        5910.96|         33529769.98|        386414.11|
2016/04/11T17:00:00|        7729.42|         60388467.79|        808319.52|
2016/04/11T17:05:00|        7498.84|         52679302.48|        708730.73|
2016/04/11T17:10:00|        5170.73|         27222244.35|        333954.25|
2016/04/11T17:15:00|        3276.37|         12468317.74|        123227.01|
2016/04/11T17:20:00|        6375.30|         39165458.27|        440844.94|
2016/04/11T17:25:00|        8402.78|         58060498.57|        755623.84|
2016/04/11T17:30:00|        8233.52|         48010744.74|        530292.54|
2016/04/11T17:35:00|        8781.75|         47320738.99|        446398.40|
2016/04/11T17:40:00|        9012.29|         51727442.15|        501461.46|
2016/04/11T17:45:00|        7848.53|         51630378.63|        549030.76|
2016/04/11T17:50:00|        4629.57|         48235535.63|        371063.73|
2016/04/11T17:55:00|        5364.08|         25041383.40|        216358.42|
2016/04/11T18:00:00|        7523.89|         43021836.84|        396604.79|
2016/04/11T18:05:00|        7316.81|         44429119.53|        478259.57|
2016/04/11T18:10:00|        5626.16|         29542648.42|        316197.34|
2016/04/11T18:15:00|        3500.44|         16770445.45|        173877.41|
2016/04/11T18:20:00|        6387.32|         46940735.03|        432702.04|
2016/04/11T18:25:00|        7776.89|         53778356.90|        386384.86|
2016/04/11T18:30:00|        7375.02|         44434981.68|        434866.93|
2016/04/11T18:35:00|        7670.55|         55075424.30|        536490.07|
2016/04/11T18:40:00|        7241.08|         62487632.64|        582807.22|
2016/04/11T18:45:00|        4572.73|         40195518.32|        333026.07|
2016/04/11T18:50:00|        3411.75|         21720341.70|        197830.02|
2016/04/11T18:55:00|        6703.18|         45747726.85|        489277.28|
2016/04/11T19:00:00|        7468.85|         45604916.38|        514047.27|
2016/04/11T19:05:00|        8025.26|         51313134.68|        568377.02|
2016/04/11T19:10:00|        6084.14|         38192502.83|        396841.61|
2016/04/11T19:15:00|        3340.82|         17396911.75|        160530.30|
2016/04/11T19:20:00|        6374.87|         31728567.97|        274828.07|
2016/04/11T19:25:00|        8885.04|         73799304.34|        765449.06|
2016/04/11T19:30:00|        7385.95|         72878335.78|        823791.29|
2016/04/11T19:35:00|        7823.70|         75604582.05|        959044.87|
2016/04/11T19:40:00|        7594.85|         80897984.83|        987355.93|
2016/04/11T19:45:00|        6602.54|         59848722.76|        761295.77|
2016/04/11T19:50:00|        3279.38|         38723879.07|        475428.18|
2016/04/11T19:55:00|        5768.51|         37684797.85|        417347.47|
2016/04/11T20:00:00|        8096.69|         73233282.37|        783248.33|
2016/04/11T20:05:00|        8350.78|         66779624.86|        730713.53|
2016/04/11T20:10:00|        6249.50|         36769137.81|        337645.28|
2016/04/11T20:15:00|        3720.71|         16931509.83|        150480.32|
2016/04/11T20:20:00|        6224.94|         46724850.27|        475638.47|
2016/04/11T20:25:00|        7307.74|         62066959.12|        489630.57|
2016/04/11T20:30:00|        7249.58|         61378133.86|        642415.92|
2016/04/11T20:35:00|        8398.80|         57005383.17|        723247.44|
2016/04/11T20:40:00|        8110.70|         54800265.93|        567712.57|
